feature,feature_idx,m_i,s_used,context,prompt,condition,c,sample,baseline_p,a_i_max,active,passed_floor,p_concept,gen_success_frac,gen_success_any,perplexity
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=0.5),0.5,3,0.5280292630195618,70.4028549194336,True,True,0.14109554886817932,0.03125,1,5.979455947875977
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=0.5),0.5,4,0.5280292630195618,70.4028549194336,True,True,0.14109554886817932,0.03125,1,5.567021369934082
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=0.5),0.5,5,0.5280292630195618,70.4028549194336,True,True,0.14109554886817932,0.03125,1,9.876543045043945
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=0.5),0.5,6,0.5280292630195618,70.4028549194336,True,True,0.14109554886817932,0.03125,1,6.933550834655762
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=0.5),0.5,7,0.5280292630195618,70.4028549194336,True,True,0.14109554886817932,0.03125,1,6.362581253051758
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=0.5),0.5,8,0.5280292630195618,70.4028549194336,True,True,0.14109554886817932,0.0625,1,6.497835636138916
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=0.5),0.5,9,0.5280292630195618,70.4028549194336,True,True,0.14109554886817932,0.03125,1,4.912846565246582
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=1.0),1.0,0,0.5280292630195618,70.4028549194336,True,True,0.12106212973594666,0.03125,1,7.068752288818359
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=1.0),1.0,1,0.5280292630195618,70.4028549194336,True,True,0.12106212973594666,0.03125,1,5.4015793800354
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=1.0),1.0,2,0.5280292630195618,70.4028549194336,True,True,0.12106212973594666,0.03125,1,8.435689926147461
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=1.0),1.0,3,0.5280292630195618,70.4028549194336,True,True,0.12106212973594666,0.03125,1,6.938082218170166
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=1.0),1.0,4,0.5280292630195618,70.4028549194336,True,True,0.12106212973594666,0.03125,1,5.0142598152160645
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=1.0),1.0,5,0.5280292630195618,70.4028549194336,True,True,0.12106212973594666,0.03125,1,9.876543045043945
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=1.0),1.0,6,0.5280292630195618,70.4028549194336,True,True,0.12106212973594666,0.03125,1,6.933550834655762
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=1.0),1.0,7,0.5280292630195618,70.4028549194336,True,True,0.12106212973594666,0.03125,1,6.227790832519531
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=1.0),1.0,8,0.5280292630195618,70.4028549194336,True,True,0.12106212973594666,0.03125,1,4.776802062988281
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=1.0),1.0,9,0.5280292630195618,70.4028549194336,True,True,0.12106212973594666,0.03125,1,6.156219959259033
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=1.0),1.0,0,0.5280292630195618,70.4028549194336,True,True,0.13985301554203033,0.03125,1,8.924602508544922
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=1.0),1.0,1,0.5280292630195618,70.4028549194336,True,True,0.13985301554203033,0.03125,1,4.873343467712402
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=1.0),1.0,2,0.5280292630195618,70.4028549194336,True,True,0.13985301554203033,0.03125,1,6.498880386352539
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=1.0),1.0,3,0.5280292630195618,70.4028549194336,True,True,0.13985301554203033,0.03125,1,5.979455947875977
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=1.0),1.0,4,0.5280292630195618,70.4028549194336,True,True,0.13985301554203033,0.03125,1,5.567021369934082
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=1.0),1.0,5,0.5280292630195618,70.4028549194336,True,True,0.13985301554203033,0.03125,1,9.876543045043945
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=1.0),1.0,6,0.5280292630195618,70.4028549194336,True,True,0.13985301554203033,0.03125,1,6.933550834655762
